Episode,Reward
0,-483.6290938555033
1,-83.63861447543566
2,-128.87999004205707
3,-126.46445130411948
4,-112.60307363690038
5,-120.91600504527474
6,-447.9707230954704
7,-166.98833307626109
8,-64.8652414905695
9,-105.01700710350892
10,-189.25755653240947
11,-135.50848841298298
12,-327.901733906885
13,-63.28463857906743
14,-123.58632854858257
15,-158.72639035048508
16,-381.9302879214148
17,-111.99818152784934
18,-250.85405696449052
19,-444.81768551576215
20,-127.43524309131679
21,-76.43988035153441
22,-149.92456606033943
23,19.858989035912813
24,-284.16045315828546
25,-242.22072299846965
26,-208.15745576648567
27,-123.1243842875258
28,-61.98456410863566
29,-272.57254124827466
30,-130.9899989171213
31,-136.5724537006932
32,-31.617374565860374
33,-22.003724673506028
34,-273.50464527759993
35,-111.13445912793507
36,-227.10045436274584
37,-271.5253166895292
38,-102.32636120692011
39,-100.72727655049249
40,-117.78276170189602
41,-183.49394701086075
42,-135.9605858460156
43,-248.04450912242322
44,-435.7030171766238
45,-123.14144811986768
46,-202.0266347290202
47,-111.32818789924242
48,-74.30436807942732
49,-198.4835347184355
50,-190.76621996215636
51,-183.08939357710975
52,-244.9312982677865
53,-92.94018612682115
54,-323.1412096754867
55,-126.17401875470402
56,-336.3797583979599
57,-128.1043429160331
58,-301.3452550799436
59,-185.52298328522264
60,-175.5377844376243
61,-43.957106612874476
62,-138.418854933136
63,-299.9538831392845
64,-129.4944517406235
65,-213.72084281844715
66,-97.16557451886266
67,-438.82690625446475
68,-89.57184562054884
69,-126.08487376999913
70,-91.30019852369122
71,-351.8735354403326
72,-244.00039409025385
73,-128.9721055405849
74,-158.7676474156233
75,-203.4760539479712
76,-226.16584784550537
77,-120.46633369410296
78,-114.99271573492915
79,-103.38139569015378
80,-357.14946531394156
81,-199.59999289470085
82,-335.6203712722887
83,-79.80033072288774
84,-110.05350931296832
85,-211.2651598868655
86,-111.90969848298059
87,-155.90838039226742
88,-220.41021317193804
89,-192.1708070773784
90,-249.01145790471728
91,-138.24422441118764
92,-277.0547981104881
93,-286.98047060851445
94,-190.24701408977057
95,-52.44195623368247
96,-255.67096802200172
97,-246.24887009116728
98,-460.23804338543397
99,-155.75755601849312
100,-187.71142771238618
101,-136.3982214413759
102,-201.1106926963771
103,-249.10987536134112
104,-93.31584414186645
105,-248.96992982419474
106,-466.6588408171112
107,-156.34811663081018
108,-331.07922909034266
109,-44.74045700101304
110,-23.9156058614667
111,-253.8589794793769
112,-161.56189725639155
113,-139.99299075660952
114,-78.22265607221902
115,-180.171413803758
116,-144.27198633843972
117,-114.29877889622695
118,-87.03687185583011
119,-119.97770284758559
120,-56.10883960609439
121,-56.51644004470708
122,-201.7001276648061
123,-272.14507070753564
124,-284.5754192748889
125,-177.23003152773305
126,-377.3925096621292
127,-314.0457947879268
128,-138.59356629671774
129,-111.5129492580233
130,-94.46595547132031
131,-129.81603103882685
132,-92.077958803993
133,-79.94148101995515
134,-70.52724907250679
135,-323.37296746501795
136,-36.891349718106014
137,-147.02476588104943
138,-12.87718191853807
139,-76.46435787599121
140,-102.71252377326599
141,-78.35924523790621
142,-100.0739154482286
143,-46.21056556978756
144,-285.5834955218995
145,-154.6907661618092
146,-120.06332170685025
147,-110.04078755845667
148,-188.69792354141435
149,-79.65482835364922
