Episode,Reward
0,-5.699999999999998
1,-8.099999999999998
2,-8.099999999999998
3,-8.099999999999998
4,-6.899999999999999
5,-6.899999999999999
6,-8.099999999999998
7,-7.499999999999998
8,-7.499999999999998
9,-4.499999999999998
10,-7.499999999999998
11,-8.099999999999998
12,-8.7
13,-8.7
14,-8.7
15,-6.899999999999999
16,-7.499999999999998
17,-8.099999999999998
18,-5.699999999999998
19,-5.699999999999998
20,-8.099999999999998
21,-8.7
22,-8.099999999999998
23,-8.099999999999998
24,-7.499999999999998
25,-8.099999999999998
26,-6.899999999999999
27,-8.7
28,-8.099999999999998
29,-7.499999999999998
30,-8.7
31,-6.299999999999999
32,-7.499999999999998
33,-8.099999999999998
34,-6.899999999999999
35,-8.099999999999998
36,-7.499999999999998
37,-7.499999999999998
38,-7.499999999999998
39,-7.499999999999998
40,-8.099999999999998
41,-8.7
42,-7.499999999999998
43,-8.7
44,-7.499999999999998
45,-6.899999999999999
46,-8.099999999999998
47,-8.099999999999998
48,-8.099999999999998
49,-7.499999999999998
50,-8.099999999999998
51,-7.499999999999998
52,-5.699999999999998
53,-6.899999999999999
54,-8.099999999999998
55,-8.7
56,-7.499999999999998
57,-7.499999999999998
58,-8.099999999999998
59,-8.099999999999998
60,-6.899999999999999
61,-8.7
62,-7.499999999999998
63,-6.899999999999999
64,2.6999999999999993
65,-8.7
66,-7.499999999999998
67,-8.099999999999998
68,-8.7
69,-7.499999999999998
70,-7.499999999999998
71,-7.499999999999998
72,-8.099999999999998
73,-7.499999999999998
74,-7.499999999999998
75,-6.899999999999999
76,-8.099999999999998
77,-8.7
78,-8.7
79,-8.099999999999998
80,-8.099999999999998
81,-8.7
82,-8.7
83,-7.499999999999998
84,-7.499999999999998
85,-8.099999999999998
86,-8.7
87,-8.7
88,-6.899999999999999
89,-7.499999999999998
90,-5.699999999999998
91,-8.7
92,-6.299999999999999
93,-7.499999999999998
94,-8.099999999999998
95,-8.7
96,-6.299999999999999
97,-6.899999999999999
98,-8.7
99,-7.499999999999998
100,-5.699999999999998
101,-5.699999999999998
102,-6.899999999999999
103,-8.7
104,-8.099999999999998
105,-6.899999999999999
106,-7.499999999999998
107,-7.499999999999998
108,-8.099999999999998
109,-8.099999999999998
110,-7.499999999999998
111,-7.499999999999998
112,-7.499999999999998
113,-7.499999999999998
114,-7.499999999999998
115,-8.099999999999998
116,-7.499999999999998
117,-8.7
118,-6.899999999999999
119,-6.299999999999999
120,-8.7
121,-6.899999999999999
122,-7.499999999999998
123,-7.499999999999998
124,-7.499999999999998
125,-6.299999999999999
126,-8.099999999999998
127,-7.499999999999998
128,-8.099999999999998
129,-8.099999999999998
130,-8.099999999999998
131,-6.899999999999999
132,-7.499999999999998
133,-8.099999999999998
134,-8.099999999999998
135,-6.299999999999999
136,-8.099999999999998
137,-8.7
138,-8.099999999999998
139,-8.099999999999998
140,-5.699999999999998
141,-7.499999999999998
142,-5.699999999999998
143,-8.7
144,-6.899999999999999
145,-6.899999999999999
146,-8.7
147,-7.499999999999998
148,-7.499999999999998
149,-8.099999999999998
150,-7.499999999999998
151,-7.499999999999998
152,-6.299999999999999
153,-7.499999999999998
154,-3.899999999999998
155,-7.499999999999998
156,-5.699999999999998
157,-8.099999999999998
158,-8.7
159,-8.099999999999998
160,-8.7
161,-5.699999999999998
162,-6.299999999999999
163,-8.099999999999998
164,-6.899999999999999
165,-8.099999999999998
166,-8.099999999999998
167,-7.499999999999998
168,-8.099999999999998
169,-8.7
170,-6.899999999999999
171,-5.699999999999998
172,-6.299999999999999
173,-7.499999999999998
174,-8.7
175,-8.099999999999998
176,-8.7
177,-7.499999999999998
178,-8.099999999999998
179,-7.499999999999998
180,-7.499999999999998
181,-6.899999999999999
182,-7.499999999999998
183,-5.699999999999998
184,-8.099999999999998
185,-8.099999999999998
186,-8.099999999999998
187,-8.099999999999998
188,-8.099999999999998
189,-6.899999999999999
190,-6.899999999999999
191,-6.899999999999999
192,-8.099999999999998
193,-7.499999999999998
194,-3.899999999999998
195,-6.899999999999999
196,-6.299999999999999
197,-7.499999999999998
198,-6.899999999999999
199,-3.899999999999998
200,-6.899999999999999
201,-6.899999999999999
202,-7.499999999999998
203,-8.7
204,-6.299999999999999
205,-7.499999999999998
206,-6.299999999999999
207,-7.499999999999998
208,-6.899999999999999
209,-8.7
210,-8.7
211,-7.499999999999998
212,-8.7
213,0.3000000000000007
214,-6.899999999999999
215,-8.7
216,-8.7
217,-7.499999999999998
218,-6.899999999999999
219,-8.099999999999998
220,-4.499999999999998
221,-8.099999999999998
222,-7.499999999999998
223,-6.899999999999999
224,-6.899999999999999
225,-7.499999999999998
226,-5.099999999999998
227,-5.699999999999998
228,-6.899999999999999
229,-7.499999999999998
230,-5.099999999999998
231,-6.899999999999999
232,-5.699999999999998
233,-6.899999999999999
234,-5.699999999999998
235,-7.499999999999998
236,-8.099999999999998
237,-5.699999999999998
238,-5.099999999999998
239,-6.899999999999999
240,-5.699999999999998
241,-6.899999999999999
242,-2.699999999999998
243,-6.299999999999999
244,-6.299999999999999
245,-7.499999999999998
246,-6.899999999999999
247,-3.899999999999998
248,-6.899999999999999
249,-5.099999999999998
250,-6.899999999999999
251,-3.299999999999998
252,-6.299999999999999
253,-6.899999999999999
254,-4.499999999999998
255,-8.099999999999998
256,-3.299999999999998
257,-6.299999999999999
258,-5.099999999999998
259,-7.499999999999998
260,-8.099999999999998
261,-3.299999999999998
262,-7.499999999999998
263,-6.899999999999999
264,-7.499999999999998
265,-6.899999999999999
266,-8.7
267,-8.099999999999998
268,-8.099999999999998
269,-6.899999999999999
270,-5.099999999999998
271,-7.499999999999998
272,-8.099999999999998
273,-7.499999999999998
274,-7.499999999999998
275,-4.499999999999998
276,-6.899999999999999
277,-5.699999999999998
278,-8.099999999999998
279,-8.099999999999998
280,-5.699999999999998
281,-5.699999999999998
282,-7.499999999999998
283,-7.499999999999998
284,-8.099999999999998
285,-5.099999999999998
286,-2.699999999999998
287,-6.899999999999999
288,-8.099999999999998
289,-5.099999999999998
290,-8.099999999999998
291,-6.899999999999999
292,-7.499999999999998
293,-5.699999999999998
294,-7.499999999999998
295,3.299999999999999
296,-6.299999999999999
297,-8.099999999999998
298,-5.099999999999998
299,-6.899999999999999
300,-5.099999999999998
301,-7.499999999999998
302,-2.699999999999998
303,-8.099999999999998
304,-6.899999999999999
305,-6.899999999999999
306,3.299999999999999
307,-6.899999999999999
308,-6.899999999999999
